experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
logical_placement,H4,1e-05,explicit_compact_numeric,explicit_compact_interaction_aware,13,13,0.0,0.0,0.0,2.2176502782634833,0.0
logical_placement,H4,1e-05,explicit_perimeter_numeric,explicit_compact_interaction_aware,13,13,0.0015968868077420595,0.0,0.0015968868077420595,10.938032214517523,0.0
logical_placement,H4,1e-02,explicit_compact_numeric,explicit_compact_interaction_aware,13,13,0.0,0.0,0.0,1.9593542488038684,0.0
logical_placement,H4,1e-02,explicit_perimeter_numeric,explicit_compact_interaction_aware,13,13,0.032784645857519834,0.0,0.032784645857519834,8.983188560616684,0.0
logical_placement,H5,1e-05,explicit_compact_numeric,explicit_compact_interaction_aware,15,15,0.0,0.0,0.0,1.2414170072312158,0.0
logical_placement,H5,1e-05,explicit_perimeter_numeric,explicit_compact_interaction_aware,15,15,0.0016491612130575817,0.0,0.0016491612130575817,8.232791342259937,0.0
logical_placement,H5,1e-02,explicit_compact_numeric,explicit_compact_interaction_aware,13,13,0.0,0.0,0.0,1.8407204904594465,0.0
logical_placement,H5,1e-02,explicit_perimeter_numeric,explicit_compact_interaction_aware,13,13,0.008832166751315818,0.0,0.008832166751315818,7.793038128647867,0.0
logical_placement,H6,1e-05,explicit_compact_numeric,explicit_compact_interaction_aware,15,15,-8.740704806609045e-05,0.0,-8.740704806609045e-05,1.7230912583550362,0.0
logical_placement,H6,1e-05,explicit_perimeter_numeric,explicit_compact_interaction_aware,15,15,0.002141472677652523,0.0,0.002141472677652523,6.43118264301088,0.0
logical_placement,H6,1e-02,explicit_compact_numeric,explicit_compact_interaction_aware,15,15,0.0,0.0,0.0,1.7385690924683672,0.0
logical_placement,H6,1e-02,explicit_perimeter_numeric,explicit_compact_interaction_aware,15,15,0.013746745668363758,0.0,0.013746745668363758,7.08726101999384,0.0
logical_placement,H7,1e-05,explicit_compact_numeric,explicit_compact_interaction_aware,17,17,-0.007315396147300479,0.0,-0.007315396147300479,1.676117519910969,0.0
logical_placement,H7,1e-05,explicit_perimeter_numeric,explicit_compact_interaction_aware,17,17,-0.0058162471679557015,0.0,-0.0058162471679557015,5.356541639780721,0.0
logical_placement,H7,1e-02,explicit_compact_numeric,explicit_compact_interaction_aware,15,15,-0.06097222192157359,0.0,-0.06097222192157359,1.8846046368982128,0.0
logical_placement,H7,1e-02,explicit_perimeter_numeric,explicit_compact_interaction_aware,15,15,-0.05087031533101971,0.0,-0.05087031533101971,5.901427690418526,0.0
routing_capacity,H4,1e-05,distributed_obstacles,remote_ban_control,13,13,0.00012283744674768116,0.0,0.00012283744674768116,0.03259035510858599,0.0
routing_capacity,H4,1e-05,central_choke,remote_ban_control,13,13,0.0015968868077420595,0.0,0.0015968868077420595,2.7231541439221685,0.0
routing_capacity,H4,1e-02,distributed_obstacles,remote_ban_control,13,13,0.0013660269107207412,0.0,0.0013660269107207412,0.12323409725647494,0.0
routing_capacity,H4,1e-02,central_choke,remote_ban_control,13,13,0.005464107642927374,0.0,0.005464107642927374,6.5875358159704245,0.0
routing_capacity,H5,1e-05,distributed_obstacles,remote_ban_control,15,15,4.7118891810526975e-05,0.0,4.7118891810526975e-05,0.31772258304409995,0.0
routing_capacity,H5,1e-05,central_choke,remote_ban_control,15,15,0.0023088256982717326,0.0,0.0023088256982717326,1.6733003553882408,0.0
routing_capacity,H5,1e-02,distributed_obstacles,remote_ban_control,13,13,0.0,0.0,0.0,0.49243671502778863,0.0
routing_capacity,H5,1e-02,central_choke,remote_ban_control,13,13,0.03256861489544516,0.0,0.03256861489544516,5.683738817310924,0.0
routing_capacity,H6,1e-05,distributed_obstacles,remote_ban_control,15,15,0.0003059229970014954,0.0,0.0003059229970014954,0.2672048339086075,0.0
routing_capacity,H6,1e-05,central_choke,remote_ban_control,15,15,0.006708454291270982,0.0,0.006708454291270982,2.3909208077531163,0.0
routing_capacity,H6,1e-02,distributed_obstacles,remote_ban_control,15,15,-0.0012624385262616222,0.0,-0.0012624385262616222,1.0080948239660659,0.0
routing_capacity,H6,1e-02,central_choke,remote_ban_control,15,15,0.10800862946869216,0.0,0.10800862946869216,5.5701376955961335,0.0
routing_capacity,H7,1e-05,distributed_obstacles,remote_ban_control,17,17,0.002243087570596991,0.0,0.002243087570596991,0.26869451763424923,0.0
routing_capacity,H7,1e-05,central_choke,remote_ban_control,17,17,0.009254145203296815,0.0,0.009254145203296815,2.0052830231642282,0.0
routing_capacity,H7,1e-02,distributed_obstacles,remote_ban_control,15,15,0.007720748465223082,0.0,0.007720748465223082,1.0523854732998439,0.0
routing_capacity,H7,1e-02,central_choke,remote_ban_control,15,15,0.04206725565634173,0.0,0.04206725565634173,6.8423618257061,0.0
grid_capacity_explicit,H4,1e-05,aware_8x8,aware_10x10,13,13,0.0,0.0,0.0,0.6446124308164602,0.0
grid_capacity_explicit,H4,1e-05,aware_12x12,aware_10x10,13,13,0.0,0.0,0.0,0.6461533185624369,0.0
